vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,13,1,9469380296,1458976062,551373221,537313416,1095958
256,norepack,B,13,9,13417936843,2770979718,1029053477,938182356,1934498
256,norepack,C,45,1,21306630526,4917287040,1866160389,1843245162,4425976
256,q4_0_8x1,A,13,1,10591834498,1214966726,55062267,150064187,16416585
256,q4_0_8x1,B,13,9,13774542401,2820874784,247028115,456489097,17425623
256,q4_0_8x1,C,45,1,17917725484,3924617028,132611739,414409753,20141863
256,q4_0_16x1,A,13,1,9253833335,648328838,44285691,93766715,16144905
256,q4_0_16x1,B,13,9,11364003845,1674957536,216050067,285716617,16983447
256,q4_0_16x1,C,45,1,13355985727,2040037892,102076059,246144025,19202535
256,q4_0_8x8,A,13,1,6359770244,545141697,253538609,90999611,56623881
256,q4_0_8x8,B,13,9,8208959420,1329521683,634048441,222345097,84568215
256,q4_0_8x8,C,45,1,8969065161,1742435119,793022129,184371993,86762727
