type,vlen,N,K,M,schedule,reps,insns_total,v_arith,vsetvl,v_load,v_store
q4_0,128,32,32,32,norepack,2,11598456,19400,9171,6350,286
q4_0,128,32,32,32,norepack,10,12141723,94936,43531,31742,1158
q4_0,128,32,32,1,norepack,2,11428078,1110,863,212,100
q4_0,128,32,32,1,norepack,10,11471837,3486,1991,1052,228
q4_0,128,32,32,32,q4_0_8x1,2,11618014,13580,805,1142,390
q4_0,128,32,32,32,q4_0_8x1,10,12131977,65836,1653,5542,1518
q4_0,128,32,32,1,q4_0_8x1,2,11448206,1234,645,192,144
q4_0,128,32,32,1,q4_0_8x1,10,11476402,4106,853,792,288
q4_0,128,32,32,32,q4_0_8x8,2,11507120,6794,3669,1142,792
q4_0,128,32,32,32,q4_0_8x8,10,11601875,31906,15957,5286,3272
q4_0,128,32,32,1,q4_0_8x8,2,11442573,752,773,176,250
q4_0,128,32,32,1,q4_0_8x8,10,11468425,1696,1477,456,562
q4_0,128,64,64,64,norepack,2,12501354,141448,59347,49934,862
q4_0,128,64,64,64,norepack,10,15421445,705176,294411,249662,4038
q4_0,128,64,64,1,norepack,2,11614881,2722,1513,794,106
q4_0,128,64,64,1,norepack,10,11687814,11546,5241,3962,258
q4_0,128,64,64,64,q4_0_8x1,2,12437817,103948,2185,8878,1278
q4_0,128,64,64,64,q4_0_8x1,10,14914686,517676,8409,43742,5478
q4_0,128,64,64,1,q4_0_8x1,2,11652190,3318,759,722,274
q4_0,128,64,64,1,q4_0_8x1,10,11696162,14526,1279,2962,458
q4_0,128,64,64,64,q4_0_8x8,2,11922607,47338,24085,7854,3904
q4_0,128,64,64,64,q4_0_8x8,10,12428556,234626,117845,37598,17584
q4_0,128,64,64,1,q4_0_8x8,2,11628131,1396,1283,642,676
q4_0,128,64,64,1,q4_0_8x8,10,11661679,4916,3835,1538,1444
q4_0,128,128,128,128,norepack,2,17586487,1088264,431955,396302,3166
q4_0,128,128,128,128,norepack,10,35948594,5439256,2157451,1981502,15558
q4_0,128,128,128,1,norepack,2,12354246,9018,3965,3110,118
q4_0,128,128,128,1,norepack,10,12525479,43026,17501,15542,318
q4_0,128,128,128,128,q4_0_8x1,2,16580540,823820,13081,70286,4830
q4_0,128,128,128,128,q4_0_8x1,10,30403353,4117036,62313,348862,21318
q4_0,128,128,128,1,q4_0_8x1,2,12464059,11614,1203,2838,774
q4_0,128,128,128,1,q4_0_8x1,10,12570116,56006,2923,11622,1038
q4_0,128,128,128,128,q4_0_8x8,2,13929056,361802,184533,57998,23520
q4_0,128,128,128,128,q4_0_8x8,10,17497997,1806946,919317,283326,110672
q4_0,128,128,128,1,q4_0_8x8,2,12366302,3932,3311,2486,2344
q4_0,128,128,128,1,q4_0_8x8,10,12429217,17596,13207,5766,4792
q4_0,128,256,256,256,norepack,2,49857199,8545288,3298387,3158030,12382
q4_0,128,256,256,256,norepack,10,177638834,42724376,16489611,15790142,61638
q4_0,128,256,256,1,norepack,2,15292596,33898,13477,12350,142
q4_0,128,256,256,1,norepack,10,15827685,167426,65061,61742,438
q4_0,128,256,256,256,q4_0_8x1,2,40172320,6570508,99673,559630,19038
q4_0,128,256,256,256,q4_0_8x1,10,127396139,32850476,492969,2787902,84678
q4_0,128,256,256,1,q4_0_8x1,2,15698751,44718,2955,11294,2734
q4_0,128,256,256,1,q4_0_8x1,10,16051082,221526,9379,46222,3158
q4_0,128,256,256,256,q4_0_8x8,2,24820280,2838154,1456981,444942,159328
q4_0,128,256,256,256,q4_0_8x8,10,52036461,14188706,7278485,2198078,769744
q4_0,128,256,256,1,q4_0_8x8,2,15306012,13996,11399,9822,8944
q4_0,128,256,256,1,q4_0_8x8,10,15483741,67916,50575,22478,17824
q4_0,128,512,512,512,norepack,2,274313676,67733000,25773651,25214990,49246
q4_0,128,512,512,512,norepack,10,1221338319,338662936,128865931,126074942,245958
q4_0,128,512,512,1,norepack,2,27007843,132810,50933,49262,190
q4_0,128,512,512,1,norepack,10,28904372,661986,252341,246302,678
q4_0,128,512,512,512,q4_0_8x1,2,190591423,52494860,790105,4466702,75870
q4_0,128,512,512,512,q4_0_8x1,10,795698068,262472236,3935913,22292542,338118
q4_0,128,512,512,1,q4_0_8x1,2,28621503,176974,9915,45102,10494
q4_0,128,512,512,1,q4_0_8x1,10,29954826,882806,34963,184542,11238
q4_0,128,512,512,512,q4_0_8x8,2,91182245,22491914,11592789,3483662,1161312
q4_0,128,512,512,512,q4_0_8x8,10,304246226,112457506,57945237,17311806,5699792
q4_0,128,512,512,1,q4_0_8x8,2,27048602,54092,43703,39086,35200
q4_0,128,512,512,1,q4_0_8x8,10,27680229,268396,199807,88926,69232
