vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,14,1,2974250620,430539994,273890721,125623711,1195715
256,norepack,B,14,9,3977766673,702009001,453975288,212473262,1962970
256,norepack,C,46,1,6244042154,1408866002,894118617,410193175,4113371
256,q4_K_8x1,A,14,1,3450166769,447376505,266212753,119403147,2111853
256,q4_K_8x1,B,14,9,4470961554,760712805,454150661,208324679,3561585
256,q4_K_8x1,C,46,1,6665714655,1447671080,861812640,382367634,3702108
256,q4_K_16x1,A,14,1,3418987610,430576848,264876628,118131946,3042948
256,q4_K_16x1,B,14,9,4397675049,726656074,449962070,202694196,3925782
256,q4_K_16x1,C,46,1,6544835448,1391251578,859360830,377440588,4437678
