type,vlen,N,K,M,schedule,reps,insns_total
q4_0,1024,896,896,1,q4_0_64x1,10,65327862
q4_0,1024,896,896,32,q4_0_64x1,2,71032418
q4_0,1024,896,896,32,q4_0_64x1,10,91776066
q4_0,1024,4864,896,1,norepack,2,270863417
q4_0,1024,4864,896,1,norepack,10,300783224
q4_0,1024,4864,896,32,norepack,2,502068798
q4_0,1024,4864,896,32,norepack,10,1452113209
q4_0,1024,4864,896,1,q4_0_8x1,2,297590898
q4_0,1024,4864,896,1,q4_0_8x1,10,319325821
q4_0,1024,4864,896,32,q4_0_8x1,2,429202110
q4_0,1024,4864,896,32,q4_0_8x1,10,972673931
q4_0,1024,4864,896,1,q4_0_16x1,2,294864502
q4_0,1024,4864,896,1,q4_0_16x1,10,305745435
q4_0,1024,4864,896,32,q4_0_16x1,2,362503804
q4_0,1024,4864,896,32,q4_0_16x1,10,639233863
q4_0,1024,4864,896,1,q4_0_32x1,2,293244387
q4_0,1024,4864,896,1,q4_0_32x1,10,298697094
q4_0,1024,4864,896,32,q4_0_32x1,2,324749027
q4_0,1024,4864,896,32,q4_0_32x1,10,451512166
q4_0,1024,4864,896,1,q4_0_64x1,2,301226744
q4_0,1024,4864,896,1,q4_0_64x1,10,303966573
q4_0,1024,4864,896,32,q4_0_64x1,2,318812709
q4_0,1024,4864,896,32,q4_0_64x1,10,387188398
q4_0,1024,1024,1024,1,norepack,2,73827353
q4_0,1024,1024,1024,1,norepack,10,81002488
q4_0,1024,1024,1024,32,norepack,2,130221990
q4_0,1024,1024,1024,32,norepack,10,357659251
q4_0,1024,1024,1024,1,q4_0_8x1,2,80281728
q4_0,1024,1024,1024,1,q4_0_8x1,10,85530653
q4_0,1024,1024,1024,32,q4_0_8x1,2,115237540
q4_0,1024,1024,1024,32,q4_0_8x1,10,254983839
q4_0,1024,1024,1024,1,q4_0_16x1,2,79626254
q4_0,1024,1024,1024,1,q4_0_16x1,10,82264483
q4_0,1024,1024,1024,32,q4_0_16x1,2,99192758
q4_0,1024,1024,1024,32,q4_0_16x1,10,174771051
q4_0,1024,1024,1024,1,q4_0_32x1,2,79236697
q4_0,1024,1024,1024,1,q4_0_32x1,10,80569340
q4_0,1024,1024,1024,32,q4_0_32x1,2,90110213
q4_0,1024,1024,1024,32,q4_0_32x1,10,129610866
q4_0,1024,1024,1024,1,q4_0_64x1,2,81157450
q4_0,1024,1024,1024,1,q4_0_64x1,10,81837557
q4_0,1024,1024,1024,32,q4_0_64x1,2,88682747
q4_0,1024,1024,1024,32,q4_0_64x1,10,114138238
q4_0,1024,3072,1024,1,norepack,2,198651241
q4_0,1024,3072,1024,1,norepack,10,220115526
q4_0,1024,3072,1024,32,norepack,2,365099469
q4_0,1024,3072,1024,32,norepack,10,1047004306
q4_0,1024,3072,1024,1,q4_0_8x1,2,217981072
q4_0,1024,3072,1024,1,q4_0_8x1,10,233672743
q4_0,1024,3072,1024,32,q4_0_8x1,2,314503099
q4_0,1024,3072,1024,32,q4_0_8x1,10,710921086
q4_0,1024,3072,1024,1,q4_0_16x1,2,216014238
q4_0,1024,3072,1024,1,q4_0_16x1,10,223873849
q4_0,1024,3072,1024,32,q4_0_16x1,2,266368327
q4_0,1024,3072,1024,32,q4_0_16x1,10,470282436
q4_0,1024,3072,1024,1,q4_0_32x1,2,214845489
q4_0,1024,3072,1024,1,q4_0_32x1,10,218788300
q4_0,1024,3072,1024,32,q4_0_32x1,2,239120598
q4_0,1024,3072,1024,32,q4_0_32x1,10,334801917
q4_0,1024,3072,1024,1,q4_0_64x1,2,220607418
q4_0,1024,3072,1024,1,q4_0_64x1,10,222592613
q4_0,1024,3072,1024,32,q4_0_64x1,2,234838010
q4_0,1024,3072,1024,32,q4_0_64x1,10,288383799
