type,vlen,N,K,M,schedule,reps,insns_total,v_arith,vsetvl,v_load,v_store
q4_0,1024,32,32,32,norepack,2,11597445,18952,8661,6344,224
q4_0,1024,32,32,32,norepack,10,12140520,94488,42997,31712,1072
q4_0,1024,32,32,1,norepack,2,11427038,662,353,206,38
q4_0,1024,32,32,1,norepack,10,11470658,3038,1457,1022,142
q4_0,1024,32,32,32,q4_0_8x1,2,11616976,13132,291,1132,324
q4_0,1024,32,32,32,q4_0_8x1,10,12130800,65388,1115,5508,1428
q4_0,1024,32,32,1,q4_0_8x1,2,11447175,786,131,182,78
q4_0,1024,32,32,1,q4_0_8x1,10,11475196,3658,315,758,198
q4_0,1024,32,32,32,q4_0_16x1,2,11600897,6604,191,586,194
q4_0,1024,32,32,32,q4_0_16x1,10,12049820,32748,631,2786,786
q4_0,1024,32,32,1,q4_0_16x1,2,11446633,438,115,112,72
q4_0,1024,32,32,1,q4_0_16x1,10,11471965,1918,251,416,176
q4_0,1024,32,32,32,q4_0_32x1,2,11591802,3340,141,314,130
q4_0,1024,32,32,32,q4_0_32x1,10,12004421,16420,381,1426,466
q4_0,1024,32,32,1,q4_0_32x1,2,11446256,264,107,78,70
q4_0,1024,32,32,1,q4_0_32x1,10,11470206,1040,211,246,166
q4_0,1024,32,32,32,q4_0_64x1,2,11334482,67,76,2,11
q4_0,1024,32,32,32,q4_0_64x1,10,11334478,67,76,2,11
q4_0,1024,32,32,1,q4_0_64x1,2,11334460,67,76,2,11
q4_0,1024,32,32,1,q4_0_64x1,10,11334482,67,76,2,11
q4_0,1024,64,64,64,norepack,2,12500343,141000,58837,49928,800
q4_0,1024,64,64,64,norepack,10,15420238,704728,293877,249632,3952
q4_0,1024,64,64,1,norepack,2,11613841,2274,1003,788,44
q4_0,1024,64,64,1,norepack,10,11686635,11098,4707,3932,172
q4_0,1024,64,64,64,q4_0_8x1,2,12436695,103500,1659,8856,1200
q4_0,1024,64,64,64,q4_0_8x1,10,14913425,517228,7859,43696,5376
q4_0,1024,64,64,1,q4_0_8x1,2,11651075,2870,233,700,196
q4_0,1024,64,64,1,q4_0_8x1,10,11694878,14078,729,2916,356
q4_0,1024,64,64,64,q4_0_16x1,2,12309308,51788,875,4496,680
q4_0,1024,64,64,64,q4_0_16x1,10,14276059,258668,4003,21928,2808
q4_0,1024,64,64,1,q4_0_16x1,2,11648539,1486,169,420,180
q4_0,1024,64,64,1,q4_0_16x1,10,11681809,7158,473,1548,308
q4_0,1024,64,64,64,q4_0_32x1,2,12237633,25932,486,2320,424
q4_0,1024,64,64,64,q4_0_32x1,10,13918574,129380,2070,11048,1528
q4_0,1024,64,64,1,q4_0_32x1,2,11646980,794,140,284,176
q4_0,1024,64,64,1,q4_0_32x1,10,11675012,3690,340,868,288
q4_0,1024,64,64,64,q4_0_64x1,2,12217848,13004,290,1230,294
q4_0,1024,64,64,64,q4_0_64x1,10,13786661,64740,1106,5606,886
q4_0,1024,64,64,1,q4_0_64x1,2,11654614,448,124,214,172
q4_0,1024,64,64,1,q4_0_64x1,10,11680024,1960,276,526,276
q4_0,1024,128,128,128,norepack,2,17585514,1087816,431445,396296,3104
q4_0,1024,128,128,128,norepack,10,35947297,5438808,2156917,1981472,15472
q4_0,1024,128,128,1,norepack,2,12353207,8570,3455,3104,56
q4_0,1024,128,128,1,norepack,10,12524278,42578,16967,15512,232
q4_0,1024,128,128,128,q4_0_8x1,2,16579089,823372,12507,70216,4704
q4_0,1024,128,128,128,q4_0_8x1,10,30401804,4116588,61715,348768,21168
q4_0,1024,128,128,1,q4_0_8x1,2,12462630,11166,629,2768,648
q4_0,1024,128,128,1,q4_0_8x1,10,12568497,55558,2325,11528,888
q4_0,1024,128,128,128,q4_0_16x1,2,15568411,411724,6299,35368,2624
q4_0,1024,128,128,128,q4_0_16x1,10,25348306,2058348,30931,174656,10896
q4_0,1024,128,128,1,q4_0_16x1,2,12452268,5646,373,1648,600
q4_0,1024,128,128,1,q4_0_16x1,10,12516751,27958,1301,6056,776
q4_0,1024,128,128,128,q4_0_32x1,2,15000048,205900,3210,17960,1600
q4_0,1024,128,128,128,q4_0_32x1,10,22510493,1029220,15546,87616,5776
q4_0,1024,128,128,1,q4_0_32x1,2,12446067,2886,260,1104,592
q4_0,1024,128,128,1,q4_0_32x1,10,12489800,14150,796,3336,736
q4_0,1024,128,128,128,q4_0_64x1,2,14811020,102988,1658,9248,1080
q4_0,1024,128,128,128,q4_0_64x1,10,21434713,514660,7850,44088,3208
q4_0,1024,128,128,1,q4_0_64x1,2,12476188,1506,196,824,580
q4_0,1024,128,128,1,q4_0_64x1,10,12509639,7250,540,1968,708
q4_0,1024,256,256,256,norepack,2,49856236,8544840,3297877,3158024,12320
q4_0,1024,256,256,256,norepack,10,177637537,42723928,16489077,15790112,61552
q4_0,1024,256,256,1,norepack,2,15291561,33450,12967,12344,80
q4_0,1024,256,256,1,norepack,10,15826484,166978,64527,61712,352
q4_0,1024,256,256,256,q4_0_8x1,2,40169525,6570060,98907,559368,18720
q4_0,1024,256,256,256,q4_0_8x1,10,127393256,32850028,492179,2787616,84336
q4_0,1024,256,256,1,q4_0_8x1,2,15695978,44270,2189,11032,2416
q4_0,1024,256,256,1,q4_0_8x1,10,16048115,221078,8589,45936,2816
q4_0,1024,256,256,256,q4_0_16x1,2,32120681,3285068,49499,280712,10400
q4_0,1024,256,256,256,q4_0_16x1,10,87149782,16425068,246163,1394848,43248
q4_0,1024,256,256,1,q4_0_16x1,2,15654696,22222,1165,6552,2256
q4_0,1024,256,256,1,q4_0_16x1,10,15842635,110838,4493,24048,2528
q4_0,1024,256,256,256,q4_0_32x1,2,27594538,1642572,24858,141448,6304
q4_0,1024,256,256,256,q4_0_32x1,10,64535189,8212580,123210,698528,22768
q4_0,1024,256,256,1,q4_0_32x1,2,15630115,11198,716,4376,2240
q4_0,1024,256,256,1,q4_0_32x1,10,15735878,55710,2500,13168,2448
q4_0,1024,256,256,256,q4_0_64x1,2,25961544,821324,12506,71784,4224
q4_0,1024,256,256,256,q4_0_64x1,10,55848885,4106340,61706,350336,12496
q4_0,1024,256,256,1,q4_0_64x1,2,15750218,5686,460,3256,2200
q4_0,1024,256,256,1,q4_0_64x1,10,15814979,28150,1476,7696,2376
q4_0,1024,512,512,512,norepack,2,274312721,67732552,25773141,25214984,49184
q4_0,1024,512,512,512,norepack,10,1221337022,338662488,128865397,126074912,245872
q4_0,1024,512,512,1,norepack,2,27006808,132362,50423,49256,128
q4_0,1024,512,512,1,norepack,10,28903171,661538,251807,246272,592
q4_0,1024,512,512,512,q4_0_8x1,2,190583252,52494412,788571,4465672,74784
q4_0,1024,512,512,512,q4_0_8x1,10,795689799,262471788,3934355,22291488,337008
q4_0,1024,512,512,1,q4_0_8x1,2,28613354,176526,8381,44072,9408
q4_0,1024,512,512,1,q4_0_8x1,10,29946475,882358,33405,183488,10128
q4_0,1024,512,512,512,q4_0_16x1,2,126340760,26247244,394331,2236936,41504
