type,vlen,N,K,M,schedule,reps,insns_total,v_arith,vsetvl,v_load,v_store
q4_0,1024,512,512,512,q4_0_16x1,10,474480581,131235948,1967251,11149856,172656
q4_0,1024,512,512,1,q4_0_16x1,2,28448970,88398,4285,26152,8832
q4_0,1024,512,512,1,q4_0_16x1,10,29128059,441718,17021,95936,9296
q4_0,1024,512,512,512,q4_0_32x1,2,90214247,13123660,197466,1122824,25120
q4_0,1024,512,512,512,q4_0_32x1,10,293911692,65618020,983946,5579296,90736
q4_0,1024,512,512,1,q4_0_32x1,2,28351259,44334,2492,17448,8800
q4_0,1024,512,512,1,q4_0_32x1,10,28703166,221390,9076,52416,9136
q4_0,1024,512,512,512,q4_0_64x1,2,76669603,6561868,98906,565640,16800
q4_0,1024,512,512,512,q4_0_64x1,10,224104396,32809060,492170,2793888,49648
q4_0,1024,512,512,1,q4_0_64x1,2,28831452,22302,1468,12968,8656
q4_0,1024,512,512,1,q4_0_64x1,10,29019919,111230,4980,30528,8928
