model,quant,vlen,batch,stage,schedule,insns_total_per_tok,v_arith_per_tok,vsetvl_per_tok,v_load_per_tok,v_store_per_tok
SmolLM2-135M,Q8_0,256,1,decode,q8_0_16x1,93012194.875,26491040.5,17692919.5,8762882.5,41323.5
SmolLM2-135M,Q8_0,256,1,prefill,q8_0_16x1,46999139.03125,20439172.1875,3487603.1875,1789139.1875,35420.1875
SmolLM2-135M,Q8_0,256,1,decode,q8_0_8x1,181890707.625,52769432.5,35290871.5,17430530.5,54115.5
SmolLM2-135M,Q8_0,256,1,prefill,q8_0_8x1,84750065.75,40666264.1875,6874051.1875,3457091.1875,44912.1875
SmolLM2-135M,Q4_K_M,256,1,decode,norepack,125439506.625,33933625.875,22510570.875,10856193.875,95906.875
SmolLM2-135M,Q4_K_M,256,1,prefill,norepack,102180985.4375,30572687.75,19382121.75,8892795.75,91176.75
SmolLM2-135M,Q4_K_M,256,1,decode,q4_K_16x1,122335929.875,37009903.25,23135680.25,10570281.25,110354.25
SmolLM2-135M,Q4_K_M,256,1,prefill,q4_K_16x1,97682744.9375,30021085.3125,18577631.3125,8103395.0625,43585.3125
SmolLM2-135M,Q4_K_M,256,1,decode,q4_K_8x1,127599348.125,39167037.5,23492238.5,11115191.5,181216.5
SmolLM2-135M,Q4_K_M,256,1,prefill,q4_K_8x1,100485871.4375,31259205.46875,18612496.46875,8217640.21875,49695.46875
Qwen3-0.6B,Q4_0,256,1,decode,norepack,493569568.375,164000457.0,59710032.0,50108617.5,104817.5
Qwen3-0.6B,Q4_0,256,1,prefill,norepack,369914069.6875,108072218.0625,41087099.0,40810367.0625,104063.0625
Qwen3-0.6B,Q4_0,256,1,decode,q4_0_16x1,263771313.75,128328587.25,21470547.0,23993737.75,104817.75
Qwen3-0.6B,Q4_0,256,1,prefill,q4_0_16x1,128192262.25,43490907.9375,1805949.0,4761790.9375,95550.9375
Qwen3-0.6B,Q4_0,256,1,decode,q4_0_8x1,397838487.875,200738507.25,23995731.0,38303113.75,126129.75
Qwen3-0.6B,Q4_0,256,1,prefill,q4_0_8x1,228934093.3125,84676571.9375,2423421.0,8260798.9375,116414.9375
Qwen3-0.6B,Q4_0,256,1,decode,q4_0_8x8,231148647.0,98047498.25,47563729.0,16418185.75,3493041.75
Qwen3-0.6B,Q4_0,256,1,prefill,q4_0_8x8,81540466.15625,37415419.4375,16858860.0,2917886.9375,941838.9375
Qwen3-0.6B,Q8_0,256,1,decode,norepack,383326616.875,56881158.25,56670870.0,37561537.25,104825.25
Qwen3-0.6B,Q8_0,256,1,prefill,norepack,274797097.90625,41323217.0,41086808.0,27342713.0,104057.0
Qwen3-0.6B,Q8_0,256,1,decode,q8_0_16x1,402728374.875,116946214.75,78260872.0,38694567.75,104823.75
Qwen3-0.6B,Q8_0,256,1,prefill,q8_0_16x1,175971349.25,84724240.125,14398263.0,7321817.125,95257.125
Qwen3-0.6B,Q8_0,256,1,decode,q8_0_8x1,796416896.625,233380414.75,156251016.0,77107623.75,135823.75
Qwen3-0.6B,Q8_0,256,1,prefill,q8_0_8x1,333053750.3125,168918096.125,28497207.0,14266073.125,116313.125
SmolLM2-135M,Q4_0,256,2,decode,norepack,116067919.4375,29498858.1875,12955419.1875,11881854.1875,46195.1875
SmolLM2-135M,Q4_0,256,4,decode,norepack,114841869.90625,29498764.75,12955272.75,11881663.25,45987.25
SmolLM2-135M,Q4_0,256,8,decode,norepack,114229126.234375,29498765.21875,12955246.71875,11881614.96875,45930.46875
SmolLM2-135M,Q4_0,256,2,decode,q4_0_16x1,57084247.625,23693012.8125,4693116.8125,5657008.8125,46193.8125
SmolLM2-135M,Q4_0,256,4,decode,q4_0_16x1,47303300.75,16386740.90625,1445114.65625,1705945.40625,41433.40625
SmolLM2-135M,Q4_0,256,8,decode,q4_0_16x1,47236104.34375,16386690.78125,1445012.15625,1705898.53125,41378.03125
SmolLM2-135M,Q4_0,256,2,decode,q4_0_8x1,89336057.625,41089760.8125,5299644.8125,9094000.8125,55805.8125
SmolLM2-135M,Q4_0,256,4,decode,q4_0_8x1,72062554.59375,26505152.90625,1596746.65625,2565193.40625,51045.40625
SmolLM2-135M,Q4_0,256,8,decode,q4_0_8x1,71995389.6875,26505102.78125,1596644.15625,2565146.53125,50990.03125
SmolLM2-135M,Q4_0,256,2,decode,q4_0_8x8,49291728.1875,16424081.8125,10960158.8125,3837424.8125,864509.8125
SmolLM2-135M,Q4_0,256,4,decode,q4_0_8x8,32543241.34375,14920262.90625,5149568.65625,1255585.40625,254355.40625
SmolLM2-135M,Q4_0,256,8,decode,q4_0_8x8,32475439.6875,14920238.65625,5149517.90625,1255538.53125,254300.03125
