vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,14,1,2520552036,143436355,142084733,93538144,476204
256,norepack,B,14,9,3259680088,247631439,245440705,161642284,806784
256,norepack,C,46,1,4756246927,466514211,461475517,304895168,1756716
256,q8_0_8x1,A,14,1,4509635824,580621054,145975701,76799466,5810350
256,q8_0_8x1,B,14,9,5964761485,1002776514,428302673,216243710,6243274
256,q8_0_8x1,C,46,1,7221637928,1881941508,365945339,187426384,7247540
256,q8_0_16x1,A,14,1,3899091817,291390466,73669269,41181930,5411506
256,q8_0_16x1,B,14,9,4643189376,503318790,215212625,111284990,5742094
256,q8_0_16x1,C,46,1,5403064266,945443976,185272571,98434384,6544952
