type,vlen,N,K,M,schedule,reps,insns_total
q4_0,256,896,896,1,norepack,10,64730622
q4_0,256,896,896,32,norepack,2,102774212
q4_0,256,896,896,32,norepack,10,277931866
q4_0,256,896,896,1,q4_0_8x1,2,64131758
q4_0,256,896,896,1,q4_0_8x1,10,68157579
q4_0,256,896,896,32,q4_0_8x1,2,91367678
q4_0,256,896,896,32,q4_0_8x1,10,199629072
q4_0,256,896,896,1,q4_0_16x1,2,63640638
q4_0,256,896,896,1,q4_0_16x1,10,65666955
q4_0,256,896,896,32,q4_0_16x1,2,79092182
q4_0,256,896,896,32,q4_0_16x1,10,138217100
q4_0,256,896,896,1,q4_0_8x8,2,59230223
q4_0,256,896,896,1,q4_0_8x8,10,60771656
q4_0,256,896,896,32,q4_0_8x8,2,68092882
q4_0,256,896,896,32,q4_0_8x8,10,100381048
q4_0,256,4864,896,1,norepack,2,270864000
q4_0,256,4864,896,1,norepack,10,300783969
q4_0,256,4864,896,32,norepack,2,502069475
q4_0,256,4864,896,32,norepack,10,1452113937
q4_0,256,4864,896,1,q4_0_8x1,2,297591547
q4_0,256,4864,896,1,q4_0_8x1,10,319326478
q4_0,256,4864,896,32,q4_0_8x1,2,429202711
q4_0,256,4864,896,32,q4_0_8x1,10,972674682
q4_0,256,4864,896,1,q4_0_16x1,2,294924649
q4_0,256,4864,896,1,q4_0_16x1,10,305805730
q4_0,256,4864,896,32,q4_0_16x1,2,362564043
q4_0,256,4864,896,32,q4_0_16x1,10,639294153
q4_0,256,4864,896,1,q4_0_8x8,2,270981080
q4_0,256,4864,896,1,q4_0_8x8,10,279228363
q4_0,256,4864,896,32,q4_0_8x8,2,313712541
q4_0,256,4864,896,32,q4_0_8x8,10,488182256
q4_0,256,1024,1024,1,norepack,2,73828030
q4_0,256,1024,1024,1,norepack,10,81003220
q4_0,256,1024,1024,32,norepack,2,130222670
q4_0,256,1024,1024,32,norepack,10,357660049
q4_0,256,1024,1024,1,q4_0_8x1,2,80282323
q4_0,256,1024,1024,1,q4_0_8x1,10,85531398
q4_0,256,1024,1024,32,q4_0_8x1,2,115238235
q4_0,256,1024,1024,32,q4_0_8x1,10,254984591
q4_0,256,1024,1024,1,q4_0_16x1,2,79641245
q4_0,256,1024,1024,1,q4_0_16x1,10,82279531
q4_0,256,1024,1024,32,q4_0_16x1,2,99207744
q4_0,256,1024,1024,32,q4_0_16x1,10,174786163
q4_0,256,1024,1024,1,q4_0_8x8,2,73880246
q4_0,256,1024,1024,1,q4_0_8x8,10,75884489
q4_0,256,1024,1024,32,q4_0_8x8,2,85236505
q4_0,256,1024,1024,32,q4_0_8x8,10,127343645
q4_0,256,3072,1024,1,norepack,2,198651918
q4_0,256,3072,1024,1,norepack,10,220116260
q4_0,256,3072,1024,32,norepack,2,365100131
q4_0,256,3072,1024,32,norepack,10,1047005104
q4_0,256,3072,1024,1,q4_0_8x1,2,217981673
q4_0,256,3072,1024,1,q4_0_8x1,10,233673500
q4_0,256,3072,1024,32,q4_0_8x1,2,314503794
q4_0,256,3072,1024,32,q4_0_8x1,10,710921824
q4_0,256,3072,1024,1,q4_0_16x1,2,216057901
q4_0,256,3072,1024,1,q4_0_16x1,10,223917563
q4_0,256,3072,1024,32,q4_0_16x1,2,266411985
q4_0,256,3072,1024,32,q4_0_16x1,10,470326220
q4_0,256,3072,1024,1,q4_0_8x8,2,198774470
q4_0,256,3072,1024,1,q4_0_8x8,10,204731353
q4_0,256,3072,1024,32,q4_0_8x8,2,230102580
q4_0,256,3072,1024,32,q4_0_8x8,10,356013884
