type,vlen,N,K,M,schedule,reps,insns_total
q4_0,256,576,576,1,norepack,2,31158244
q4_0,256,576,576,1,norepack,10,33528076
q4_0,256,576,576,32,norepack,2,49890146
q4_0,256,576,576,32,norepack,10,124167155
q4_0,256,576,576,1,q4_0_8x1,2,33192639
q4_0,256,576,576,1,q4_0_8x1,10,34872861
q4_0,256,576,576,32,q4_0_8x1,2,45299076
q4_0,256,576,576,32,q4_0_8x1,10,92372431
q4_0,256,576,576,1,q4_0_16x1,2,32989295
q4_0,256,576,576,1,q4_0_16x1,10,33842011
q4_0,256,576,576,32,q4_0_16x1,2,40222202
q4_0,256,576,576,32,q4_0_16x1,10,66974439
q4_0,256,576,576,1,q4_0_8x8,2,31167180
q4_0,256,576,576,1,q4_0_8x8,10,31820618
q4_0,256,576,576,32,q4_0_8x8,2,35120820
q4_0,256,576,576,32,q4_0_8x8,10,48560357
q4_0,256,1536,576,1,norepack,2,64105005
q4_0,256,1536,576,1,norepack,10,70377516
q4_0,256,1536,576,32,norepack,2,112755200
q4_0,256,1536,576,32,norepack,10,310607145
q4_0,256,1536,576,1,q4_0_8x1,2,69502590
q4_0,256,1536,576,1,q4_0_8x1,10,73940823
q4_0,256,1536,576,32,q4_0_8x1,2,97853900
q4_0,256,1536,576,32,q4_0_8x1,10,212665226
q4_0,256,1536,576,1,q4_0_16x1,2,68959996
q4_0,256,1536,576,1,q4_0_16x1,10,71191931
q4_0,256,1536,576,32,q4_0_16x1,2,84315568
q4_0,256,1536,576,32,q4_0_16x1,10,144936711
q4_0,256,1536,576,1,q4_0_8x8,2,64100571
q4_0,256,1536,576,1,q4_0_8x8,10,65800340
q4_0,256,1536,576,32,q4_0_8x8,2,73339418
q4_0,256,1536,576,32,q4_0_8x8,10,108966618
q4_0,256,960,960,1,norepack,2,66269699
q4_0,256,960,960,1,norepack,10,72598624
q4_0,256,960,960,32,norepack,2,116054928
q4_0,256,960,960,32,norepack,10,316500514
q4_0,256,960,960,1,q4_0_8x1,2,71939996
q4_0,256,960,960,1,q4_0_8x1,10,76557045
q4_0,256,960,960,32,q4_0_8x1,2,102920496
q4_0,256,960,960,32,q4_0_8x1,10,226423680
q4_0,256,960,960,1,q4_0_16x1,2,71376330
q4_0,256,960,960,1,q4_0_16x1,10,73698439
q4_0,256,960,960,32,q4_0_16x1,2,88830006
q4_0,256,960,960,32,q4_0_16x1,10,155931440
q4_0,256,960,960,1,q4_0_8x8,2,66313187
q4_0,256,960,960,1,q4_0_8x8,10,68078298
q4_0,256,960,960,32,q4_0_8x8,2,76388530
q4_0,256,960,960,32,q4_0_8x8,10,113423330
q4_0,256,2560,960,1,norepack,2,157702604
q4_0,256,2560,960,1,norepack,10,174529490
q4_0,256,2560,960,32,norepack,2,288301935
q4_0,256,2560,960,32,norepack,10,822501022
q4_0,256,2560,960,1,q4_0_8x1,2,172795661
q4_0,256,2560,960,1,q4_0_8x1,10,185062245
q4_0,256,2560,960,32,q4_0_8x1,2,248865319
q4_0,256,2560,960,32,q4_0_8x1,10,560375195
q4_0,256,2560,960,1,q4_0_16x1,2,171292235
q4_0,256,2560,960,1,q4_0_16x1,10,177439305
q4_0,256,2560,960,32,q4_0_16x1,2,211290699
q4_0,256,2560,960,32,q4_0_16x1,10,372395354
q4_0,256,2560,960,1,q4_0_8x8,2,157790058
q4_0,256,2560,960,1,q4_0_8x8,10,162451104
q4_0,256,2560,960,32,q4_0_8x8,2,182491721
q4_0,256,2560,960,32,q4_0_8x8,10,280928285
q4_0,256,896,896,1,norepack,2,59194677
